Date	id	Cost	Clicks	note
26-04-2020	Jj4YRvg_	10.39989	43	Josephine;61;8737
22-11-2020	6yIVszTI	6.07311	2	Mason;46;948
09-12-2020	6EDh7rrr	7.30266	3	Tyler;27;7045
28-07-2020	0ig_pf7O	0.07435	15	Cayden;46;13
21-10-2020	tdGVh7VU	4.3247	15	Rachel;40;27287
05-09-2020	BGS32S1Y	3.4603	26	William;57;59403
30-07-2020	W0kfEiH1	0.21833	29	Asher;63;541
21-02-2020	8dNtYugy	5.28525	13	Landon;35;384
05-07-2020	0KxMfhj2	5.25814	43	Hunter;48;2316
21-12-2020	OEw0vrzn	8.22682	1	Robert;60;160915
24-06-2020	Ua2QlI07	5.11542	22	Lyla;61;775
21-01-2020	26kTSnrA	10.5317	30	Faith;41;5900
06-12-2020	ySdUUhF0	7.28844	24	Zachary;40;2764
03-12-2020	3fnDHO1X	3.39193	50	Jase;25;598
27-11-2020	rbm9Tky6	4.00672	4	Roman;42;49660
25-08-2020	C1FLXyVH	1.8717	40	Everly;37;63
20-10-2020	4ObT0ePM	8.28411	16	Giovanni;54;95494
23-06-2020	eC_X_V72	5.58428	27	Aiden;32;666
25-10-2020	7wqE_7Kq	0.19506	5	Raelynn;54;7
06-04-2020	NdBMFVLJ	10.54705	10	Lyla;61;775
25-04-2020	aPj3nZBd	4.52482	1	Benjamin;37;60070
23-09-2020	n9g3CwHA	6.54236	16	Chase;62;1141
24-06-2020	55_uhNDr	2.36546	21	Aliyah;34;379
16-11-2020	XuUWaga4	3.26988	12	Silas;34;1623
18-02-2020	lT7JuOjA	6.85533	11	Kinsley;28;102
10-07-2020	JVKVp2di	3.08122	38	David;53;482097
05-05-2020	zAQaO5p9	1.43399	16	Sebastian;32;76858
10-11-2020	GP49eGsk	0.48651	30	Hadley;60;86
27-07-2020	TJ8zN0G2	3.94325	26	Evelyn;63;11656
07-07-2020	KQr8IS3F	8.05522	48	Miguel;58;152787
04-12-2020	2l9C7NXG	10.64652	18	Mila;50;11771
16-02-2020	yIQvfXAH	2.79849	15	Nathaniel;29;2860
27-08-2020	t2xl0pLx	0.56751	19	Sebastian;32;76858
01-05-2020	lTQMJhoP	5.03829	40	James;58;111683
21-08-2020	fBGz5dvZ	10.33828	13	Madelyn;30;455
19-04-2020	f0ls1OkV	0.72725	2	Nicole;37;92379
04-09-2020	raX6Owv3	0.27927	19	Caden;44;19
19-07-2020	OVRFsorN	7.35337	47	Liam;25;9002
12-09-2020	75PQ5mwr	1.52495	25	Jesse;34;9573
24-03-2020	MuzjwdqB	7.72137	38	Aubree;54;22
23-11-2020	BqaaoyIn	9.87377	35	Josiah;39;494
09-07-2020	4ueXeJMX	2.88542	35	London;36;988
29-06-2020	X6Px5RUJ	7.02617	19	Jonah;31;1288
30-05-2020	LmkAZdYm	7.65117	28	Layla;39;5576
17-05-2020	o5cYIKyX	2.97197	32	Paige;25;1151
01-10-2020	XNabnXTm	0.24781	21	Londyn;49;1
27-07-2020	u2a0GjY4	9.00255	5	Owen;68;3937
30-04-2020	KWTePAIx	1.93455	44	Scarlett;53;1488
03-04-2020	A0BTjHZK	8.34848	4	Caleb;27;1908
15-02-2020	byxFbckT	2.66327	25	Carter;34;1336
01-10-2020	N5RpEQkt	9.46576	10	Ryder;65;175
12-06-2020	yEHu7DEx	0.70191	35	Alan;58;37328
18-12-2020	W9xnieHP	0.74733	45	Naomi;35;9832
22-08-2020	VO7Dn9Xc	1.29236	11	George;23;57677
04-06-2020	NCuh4Dxr	4.00575	13	Robert;60;160915
30-01-2020	QJg62GP9	8.49549	40	Logan;34;4119
18-04-2020	ycZG7Hq3	8.13036	46	Jordan;30;29734
11-10-2020	hNg5rcvT	9.21141	27	Melody;24;6367
03-05-2020	5c4b2vxO	8.13931	9	Ella;33;18511
18-10-2020	qK89E_Xp	10.80157	31	Elena;48;131042
12-06-2020	baXiJbIh	1.96066	32	Melody;24;6367
26-03-2020	xkrkhGiD	10.40286	48	Kendall;70;481
19-04-2020	K825BIhD	7.43783	2	Rose;62;37193
05-02-2020	vhqPsaNT	6.60019	33	Bentley;37;186
07-10-2020	E5Wtnhjr	10.60878	50	Elena;48;131042
11-05-2020	bZBcE_il	3.66853	18	Brody;28;213
27-05-2020	5vVTkPE4	5.67736	37	Bailey;36;414
14-04-2020	hYSi9L7Q	1.48733	10	Jacob;67;14222
09-05-2020	67QCgdQf	0.78179	20	Riley;38;624
28-09-2020	EKSk5pfE	6.04158	20	Bailey;36;414
28-01-2020	0gCbnisu	4.05193	5	Jude;53;4256
30-01-2020	Ci8f9lgP	1.62059	21	Makayla;48;58
02-01-2021	4y20gC1v	3.33118	35	Jeremy;26;47362
11-09-2020	peQAcZIO	1.53343	37	Evelyn;63;11656
04-08-2020	LfsSVgm2	6.05433	19	Luca;54;176951
31-07-2020	Jo1f6Sqj	9.26588	11	Carlos;45;228675
20-11-2020	jwUFjSbp	9.23955	1	Nicolas;30;113178
15-09-2020	oZRqEdp7	2.56499	16	Kimberly;27;17424
19-10-2020	H9MZ4wu0	1.5738	42	Maverick;35;2713
17-09-2020	RnBZhtV0	7.4668	8	Brian;47;48727
01-03-2020	fLoep6eW	1.00854	20	Luis;46;169982
28-11-2020	p_VAdKjw	1.54461	9	Jameson;47;375
28-09-2020	iKEf6Iix	6.95068	1	Morgan;39;14918
16-12-2020	XJvLtgVZ	7.58448	20	Marcus;40;26766
05-10-2020	Rj9SL8e_	5.41529	11	Eliana;60;7171
22-02-2020	A0ey6nwG	10.04456	1	Derek;57;11050
08-06-2020	v2CVJGPW	6.83339	38	Aurora;51;14866
13-07-2020	42vSfBeu	9.44864	24	Nicolas;30;113178
21-02-2020	G4ymhgqC	6.95322	37	Joseph;57;57397
08-04-2020	h93IITWJ	9.89488	15	Eleanor;41;2265
29-09-2020	8HAs28Nu	10.80805	4	Dylan;27;18109
13-08-2020	lw6mjKFd	9.76071	13	Ximena;50;1951
02-09-2020	OfOr2G9Q	6.89571	34	Skylar;40;153
23-12-2020	F0DdexIH	7.48806	31	Cora;55;2892
05-12-2020	MICbQ98X	6.79028	10	Alexis;38;34983
31-03-2020	7wWSNF8y	2.05486	47	Gianna;70;5477
28-06-2020	B2QdAbXo	2.23894	34	name;age;count
12-09-2020	EfDCutDX	5.97709	40	William;57;59403
01-03-2020	tb1jXznT	7.99522	18	Alexander;39;60600
18-10-2020	EBNn7vkw	8.26376	6	Abraham;44;9736
28-12-2020	gO3dASBJ	8.24481	21	Scarlett;53;1488
28-12-2020	L71zlvOw	5.09874	40	Mya;28;2024
31-03-2020	t8BGR9qb	10.58295	38	Alyssa;27;2900
03-03-2020	ZWHJJKKx	0.34714	6	Isaiah;29;784
16-10-2020	VZWb6d1A	7.34862	29	Andrea;35;282455
18-01-2020	UvM39_VU	1.44544	19	Ruby;23;6886
28-10-2020	LQ1EVsx2	9.8493	5	Molly;55;3271
08-07-2020	pvwTDtZg	7.9633	20	Evelyn;63;11656
20-09-2020	F62x4nlL	3.68689	26	Carlos;45;228675
05-12-2020	EmO1oGIU	7.15175	21	Michael;69;233482
08-03-2020	ulj380Kd	7.60929	16	Matthew;35;34742
19-01-2020	1Cr5wM0G	8.33511	16	Tucker;36;169
16-05-2020	EvzgwYWW	8.96199	22	Jesse;34;9573
14-12-2020	CEjMnQnN	4.82885	3	Christopher;31;52548
30-10-2020	WHYfUzzu	8.91704	20	Parker;52;950
04-11-2020	6KbNF8j3	4.576	8	Melody;24;6367
26-09-2020	wlg4xeRO	9.44205	18	Micah;39;1288
07-10-2020	sRrnEmY2	2.34261	43	Grace;63;19890
28-10-2020	yy_71V06	2.13434	13	Cecilia;51;20294
10-02-2020	juJMrGD0	3.46469	11	Santiago;50;15495
01-06-2020	KAee3BLw	5.6099	47	Abraham;44;9736
09-06-2020	GhosLHko	8.81832	6	Zachary;40;2764
20-06-2020	CUKNWOlo	3.30537	17	Delilah;53;298
17-09-2020	i3sogNHg	3.0355	30	Colin;60;11868
24-08-2020	9L4iLIpG	0.14499	48	Luna;57;28143
20-10-2020	OK0YEIo0	2.34327	34	Nicolas;30;113178
23-05-2020	GSl4Y86s	10.01904	24	Victoria;63;32848
16-02-2020	tHktCc9G	6.63449	31	Jordyn;25;60
15-10-2020	K4ONCzqu	10.33575	15	Mckenzie;59;167
07-07-2020	1_yNm8O0	8.28863	20	Makayla;48;58
06-09-2020	U9PLFsc7	10.60685	37	Sara;36;233152
24-08-2020	MMeeKs0r	1.80581	18	Ryan;43;45355
19-04-2020	cPnsAWsR	6.28056	48	Rylee;40;10
30-09-2020	lVFKuVve	3.07307	50	Victoria;63;32848
13-09-2020	ktTByaiQ	8.76883	25	Leo;47;49991
16-10-2020	8IVjAmtI	9.08739	43	Zayden;37;9
03-03-2020	ebYxbm4T	5.75097	15	Ayden;50;142
12-06-2020	PY8nSa1W	10.12006	5	Raelynn;54;7
08-08-2020	0RFYftzA	7.85858	34	Kylie;44;1254
06-11-2020	4_K2c7J1	2.25428	41	Nathan;36;19570
24-04-2020	PohaA2qq	2.23477	10	Chloe;28;9475
01-05-2020	MMdyBGWD	10.74641	12	Kayla;35;1574
20-11-2020	nh5EWsAY	5.4158	38	Kingston;35;345
25-11-2020	LDQGQaIL	1.17124	41	Jackson;54;5117
23-06-2020	nuD3DQJQ	8.0498	11	Kevin;35;152999
25-03-2020	gxVylrKc	10.76928	9	Mark;49;119611
21-11-2020	mifSTtUY	3.95251	6	Ayden;50;142
25-03-2020	DH0hQgP4	9.14422	27	Samuel;37;57371
11-09-2020	G5PW7esa	3.31158	31	Andrea;35;282455
07-08-2020	a50lhNHs	1.39882	8	Kylie;44;1254
13-02-2020	cTd7oDsJ	0.30473	36	Ashley;26;13380
06-11-2020	sKpfTWGm	1.39145	47	Margaret;62;15424
31-03-2020	sLCMfJMt	1.7498	20	Austin;33;4452
10-09-2020	RDuA6fPE	5.07496	31	Benjamin;37;60070
20-01-2020	yHQImbGe	10.88538	33	Benjamin;37;60070
26-05-2020	5LSZkXIm	3.45358	16	Maya;45;21478
18-11-2020	9rTiYKzC	5.90523	29	Nicole;37;92379
27-05-2020	qMr9VEUM	9.24949	45	Nolan;45;1259
16-01-2020	F2HIh_Pb	3.46367	28	Max;57;102949
13-07-2020	Ca78bb1A	6.95411	17	Aria;44;1702
20-07-2020	HvzZ18vd	7.63375	13	Ethan;37;3443
14-07-2020	AD__YxLP	0.43956	38	Joshua;29;20615
28-10-2020	t8zkT6nR	8.62106	23	Damian;28;42870
29-10-2020	1dGf9t7y	10.09284	36	Adalyn;50;13
03-03-2020	rrykghfI	0.73348	38	Wesley;37;9232
26-03-2020	Wo_YC_zb	1.23433	13	Graham;63;7855
29-06-2020	w7oY1orO	6.77544	40	William;57;59403
25-05-2020	rXYY_C9Z	7.96195	32	Aiden;32;666
06-02-2020	87IBlGhM	8.12724	9	Everly;37;63
03-04-2020	Whd4nBg7	6.23343	50	Aaliyah;30;644
14-07-2020	vWK8aVra	10.4261	9	Juliana;40;13972
06-05-2020	jwyGINVt	3.46461	43	Cooper;33;776
04-10-2020	RTBwCTl5	8.53476	48	Zoey;26;726
29-09-2020	ESzeIOYd	7.69766	3	Naomi;35;9832
24-06-2020	dG3Q7BA4	5.39779	5	Jeremiah;35;2217
05-05-2020	OgUcIz95	0.27094	17	Ariana;36;3295
19-03-2020	PvLCL0NA	2.45773	49	Kaiden;46;16
20-02-2020	M8tGMGKk	7.8115	41	Khloe;48;93
03-05-2020	ei4iN23A	4.4105	43	Kai;47;16432
07-03-2020	NXPwXrbk	2.80902	9	Kaden;30;32
13-08-2020	EBWWDXWO	3.20397	12	Aaliyah;30;644
20-06-2020	iq6MzqP9	2.42686	30	Ellie;30;2976
17-03-2020	RMy0Cf1M	2.66597	47	Leilani;41;351
25-12-2020	nLshCUTA	0.95016	12	Adalynn;28;2
27-11-2020	24waCZB5	2.22152	16	Avery;35;257
04-11-2020	IDWU4wPR	8.55583	26	Lauren;31;8611
23-12-2020	2nku7a9F	9.59618	18	Elliott;62;886
27-10-2020	jsh7ikNV	5.13769	48	Mason;46;948
14-12-2020	efMWN4Bf	1.44189	32	Bradley;55;4976
15-11-2020	eRZ86myE	7.25731	26	Jaxson;64;10
19-02-2020	lgEu0x2G	0.15324	18	Leah;40;4748
27-08-2020	CooYYuve	1.5631	27	Grace;63;19890
16-10-2020	RQvEphfK	5.64091	1	Steven;49;59494
02-06-2020	V5_zqG6x	7.8337	25	Laila;42;16347
24-10-2020	4amkxsZ0	3.35529	41	Jax;56;723
27-01-2020	dysKCwc_	4.38634	43	Hunter;48;2316
19-04-2020	02RXLI_x	1.85856	33	Wesley;37;9232
19-12-2020	XgnL4ROd	9.89439	9	Kai;47;16432
22-03-2020	REjHDOJe	2.26494	35	Cecilia;51;20294
01-11-2020	O5s10I4T	7.21004	3	Naomi;35;9832
28-09-2020	cpGyL9JX	9.60844	13	Alaina;62;153
09-10-2020	tEbkYpmt	1.46855	11	Scarlett;53;1488
23-01-2020	H7geuRqk	8.64706	47	Steven;49;59494
20-09-2020	XpQ7FERK	2.27291	50	Derek;57;11050
14-06-2020	kqpPiymB	2.36147	37	Nathaniel;29;2860
03-07-2020	eL_pshCV	8.32546	30	Lucy;45;23795
30-09-2020	lmO55VDs	4.67011	24	King;44;15996
16-09-2020	Hy0p3GBV	9.99825	11	Iker;46;6187
28-08-2020	uT7UuKnX	8.8854	44	Mariah;27;1535
02-09-2020	t0ecOzvP	7.44802	6	Alice;31;65532
01-04-2020	8oF3fkf9	2.52453	42	Clara;41;40938
26-01-2020	QAkBfKA1	8.28039	18	Austin;33;4452
12-10-2020	Ieg3EcGG	7.22929	32	Paul;59;139491
21-07-2020	1vqTJ09H	10.90203	37	Amir;47;30701
30-01-2020	G9v6_T2G	5.56048	23	Leilani;41;351
30-11-2020	kXbDiplp	3.80319	9	Kennedy;36;2743
04-02-2020	9CXRzlmC	1.76818	26	Norah;36;1082
22-03-2020	IsoIL5xB	9.63153	33	Ashley;26;13380
26-04-2020	coNMLRyM	7.88574	42	Maxwell;34;3406
06-11-2020	YtDMhR24	3.58574	4	Josiah;39;494
23-09-2020	RKlIfqRN	8.94188	15	Tucker;36;169
21-10-2020	6qWZG64e	9.36128	43	Jameson;47;375
15-02-2020	iVbLmPJD	6.67705	2	Adrian;31;85284
30-12-2020	CL800vr_	6.57952	16	Elias;53;12662
18-02-2020	yJLIogM4	10.13501	15	Juan;66;264216
20-01-2020	xnvpOqiZ	4.57994	31	Luke;37;16374
09-06-2020	XLZy121H	2.62831	24	Grant;67;4186
22-02-2020	AqDbvGnl	2.95723	5	Brielle;27;30
22-05-2020	jQ5B2UgX	7.28128	37	Zoe;49;8377
25-01-2020	9nK72rOt	3.00918	32	Brooke;37;1120
11-11-2020	QE0I0sxx	5.16476	23	Mary;63;140958
07-11-2020	kwlPk0BP	2.39352	43	Lauren;31;8611
16-04-2020	HOqpxo4C	8.86141	14	Samantha;27;29924
16-10-2020	koUGQf0Z	7.43834	40	Antonio;56;326438
04-05-2020	sUHiwI6B	3.36122	1	Jason;52;62634
09-10-2020	QRUw8kTk	4.82771	16	Jocelyn;71;5274
21-04-2020	juaQgo7h	1.55484	19	Chase;62;1141
30-06-2020	opGvLyBx	8.24455	24	Ivan;31;108583
12-12-2020	xXxciah_	8.52218	33	Beckett;28;18
23-08-2020	qi34sqKK	4.35841	22	Savannah;30;656
22-01-2020	1jwbgIbh	6.18291	5	Mia;60;17846
12-03-2020	HeuIdWQ1	7.58453	4	Lucas;43;39355
06-03-2020	WBo2b6on	7.09933	50	Ezra;23;879
23-03-2020	vmA_09B0	9.00656	22	Kinsley;28;102
30-01-2020	GGhSYI6i	3.35179	18	Piper;49;367
16-10-2020	jezmd23I	3.83337	43	Leah;40;4748
28-01-2020	Y2BqF8DQ	0.45984	41	Gabriel;27;49480
13-11-2020	SGMSWfDw	8.60519	26	Oscar;38;67063
14-07-2020	DIEqrKmM	3.90565	11	Ellie;30;2976
15-07-2020	Fsz3Bv7C	8.53603	9	Timothy;57;12804
08-12-2020	BuXaPeGW	6.3896	18	Lyla;61;775
